year ,month,day,total_returns_received,processed,total_e_file,tax_pro,self_prepared,web_usage,total_refunds,total_refunds_amount_billions,total_refunds_average_refund,direct_deposit_refunds_number,direct_deposit_refunds _amount_billions,"direct_deposit_refunds_average
refund"
2025,4,11,"117,588,000","116,295,000","113,907,000","62,803,000","51,104,000","296,470,000","74,858,000",$228.68,"$3,055","71,121,000",$222.54,"$3,129"
2025,4,4,"101,422,000","100,324,000","98,184,000","53,392,000","44,792,000","275,948,000","67,745,000",$211.08,"$3,116","64,733,000",$206.26,"$3,186"
2025,3,28,"89,550,000","88,527,000","86,815,000","46,367,000","40,448,000","260,026,000","61,577,000",$195.19,"$3,170","59,144,000",$191.41,"$3,236"
2025,3,21,"79,616,000","78,675,000","77,266,000","40,120,000","37,146,000","244,432,000","55,716,000",$179.47,"$3,221","53,778,000",$176.59,"$3,284"
2025,3,14,"70,370,000","69,605,000","68,454,000","34,467,000","33,987,000","228,126,000","49,828,000",$162.99,"$3,271","48,324,000",$160.92,"$3,330"
2025,3,7,"61,429,000","60,789,000","59,872,000","29,004,000","30,868,000","210,850,000","43,647,000",$145.06,"$3,324","42,533,000",$143.71,"$3,379"
2025,2,28,"52,402,000","51,819,000","51,209,000","23,694,000","27,515,000","191,685,000","36,902,000",$124.80,"$3,382","36,130,000",$124.13,"$3,436"
2025,2,21,"42,707,000","42,396,000","41,896,000","18,335,000","23,561,000","167,087,000","29,615,000",$102.25,"$3,453","29,173,000",$102.24,"$3,505"
2025,2,14,"33,040,000","32,820,000","32,400,000","13,413,000","18,987,000","124,289,000","13,657,000",[1],"$2,169","13,515,000",[1],"$2,252"
2025,2,7,"23,589,000","23,515,000","23,134,000","8,700,000","14,434,000","93,763,000","8,054,000",[1],"$2,065","8,052,000",[1],"$2,165"
2025,1,31,"13,177,000","11,727,000","12,831,000","4,312,000","8,519,000","68,287,000","3,231,000",[1],"$1,928","3,285,000",[1],"$2,069"
2024,12,27,"163,473,000","163,515,000","151,781,000","85,642,000","66,140,000","958,545,000","104,866,000",$329.07,"$3,138","95,001,000",$301.20,"$3,170"
2024,10,18,"161,489,000","161,260,000","150,811,000","84,780,000","66,031,000","865,363,000","103,185,000",$309.93,"$3,004","93,506,000",$289.11,"$3,092"
2024,5,10,"144,018,000","141,317,000","137,394,000","73,531,000","63,864,000","623,409,000","93,940,000",$269.49,"$2,869","86,665,000",$256.56,"$2,960"
2024,5,3,"142,814,000","139,946,000","136,642,000","72,920,000","63,722,000","608,730,000","92,878,000",$265.98,"$2,864","85,844,000",$253.73,"$2,956"
2024,4,26,"141,363,000","138,356,000","135,724,000","72,201,000","63,523,000","591,742,000","91,359,000",$260.56,"$2,852","84,661,000",$249.31,"$2,945"
2024,4,19,"139,137,000","136,069,000","134,531,000","71,327,000","63,204,000","571,496,000","86,058,000",$245.23,"$2,850","80,028,000",$235.82,"$2,947"
2024,4,12,"119,592,000","118,114,000","115,734,000","63,318,000","52,416,000","533,981,000","74,685,000",$220.15,"$2,948","70,369,000",$213.29,"$3,031"
2024,4,5,"101,849,000","100,110,000","98,421,000","53,157,000","45,264,000","497,397,000","66,799,000",$201.12,"$3,011","63,445,000",$195.90,"$3,088"
2024,3,29,"90,315,000","88,800,000","87,369,000","46,302,000","41,068,000","467,978,000","60,858,000",$185.64,"$3,050","58,126,000",$181.61,"$3,124"
2024,3,22,"80,470,000","79,243,000","78,023,000","40,311,000","37,713,000","441,085,000","54,990,000",$169.41,"$3,081","52,795,000",$166.42,"$3,152"
2024,3,15,"71,587,000","70,569,000","69,543,000","34,880,000","34,664,000","411,961,000","49,145,000",$152.77,"$3,109","47,425,000",$150.67,"$3,177"
2024,3,8,"62,761,000","61,877,000","61,165,000","29,644,000","31,521,000","376,622,000","43,020,000",$135.28,"$3,145","41,719,000",$133.90,"$3,209"
2024,3,1,"54,030,000","53,231,000","52,795,000","24,516,000","28,279,000","337,328,000","36,288,000",$115.47,"$3,182","35,369,000",$114.74,"$3,244"
2024,2,23,"44,584,000","44,073,000","43,661,000","19,290,000","24,371,000","292,164,000","28,945,000",$92.99,"$3,213","28,374,000",$92.84,"$3,272"
2024,2,16,"34,743,000","34,546,000","34,071,000","14,138,000","19,933,000","231,436,000","20,883,000",$66.98,"$3,207","20,574,000",$67.18,"$3,265"
2024,2,9,"25,553,000","25,443,000","24,989,000","9,420,000","15,570,000","158,617,000","7,483,000",$13.03,"$1,741","7,417,000",$13.58,"$1,831"
2024,2,2,"15,318,000","13,928,000","14,909,000","4,874,000","10,035,000","104,788,000","2,616,000",$3.65,"$1,395","2,645,000",$4.08,"$1,543"
2023,12,29,"162,037,000","162,952,000","150,141,000","85,049,000","65,092,000","871,133,000","105,734,000",$334.86,"$3,167","96,592,000",$303.76,"$3,145"
2023,10,27,"160,494,000","161,157,000","149,504,000","84,455,000","65,049,000","788,747,000","104,658,000",$319.66,"$3,054","95,895,000",$296.21,"$3,089"
2023,10,20,"160,071,000","160,736,000","149,340,000","84,320,000","65,021,000","779,769,000","103,791,000",$308.99,"$2,977","95,326,000",$288.85,"$3,030"
2023,5,12,"142,577,000","140,224,000","134,911,000","72,651,000","62,260,000","536,829,000","94,884,000",$266.85,"$2,812","88,435,000",$253.89,"$2,871"
2023,5,5,"141,137,000","138,795,000","134,147,000","72,047,000","62,100,000","523,069,000","93,790,000",$262.89,"$2,803","88,380,000",$253.73,"$2,871"
2023,4,28,"139,375,000","136,909,000","133,229,000","71,347,000","61,883,000","507,207,000","91,800,000",$254.96,"$2,777","86,773,000",$247.21,"$2,849"
2023,4,21,"137,144,000","134,649,000","132,009,000","70,492,000","61,517,000","488,119,000","85,935,000",$236.62,"$2,753","81,799,000",$231.28,"$2,827"
2023,4,14,"117,321,000","116,175,000","113,201,000","62,174,000","51,027,000","452,290,000","75,824,000",$215.36,"$2,840","73,121,000",$212.22,"$2,902"
2023,4,7,"101,320,000","100,367,000","97,831,000","53,165,000","44,666,000","420,715,000","69,095,000",$198.87,"$2,878","66,356,000",$195.25,"$2,942"
2023,3,31,"90,111,000","89,656,000","87,126,000","46,517,000","40,609,000","395,430,000","62,932,000",$183.13,"$2,910","60,867,000",$180.75,"$2,970"
2023,3,24,"80,683,000","80,369,000","78,167,000","40,671,000","37,496,000","370,706,000","59,342,000",$172.26,"$2,903","55,902,000",$167.20,"$2,991"
2023,3,17,"71,861,000","71,455,000","69,774,000","35,239,000","34,535,000","345,454,000","53,912,000",$158.10,"$2,933","50,940,000",$153.80,"$3,019"
2023,3,10,"63,442,000","63,191,000","61,713,000","30,215,000","31,498,000","318,555,000","49,174,000",$146.17,"$2,972","45,757,000",$140.65,"$3,074"
2023,3,3,"54,948,000","54,341,000","53,598,000","25,210,000","28,387,000","289,829,000","42,040,000",$127.31,"$3,028","39,907,000",$124.31,"$3,115"
2023,2,24,"45,983,000","45,722,000","44,962,000","20,239,000","24,723,000","256,924,000","35,142,000",$108.20,"$3,079","33,377,000",$105.81,"$3,170"
2023,2,17,"36,859,000","36,769,000","36,079,000","15,380,000","20,698,000","212,815,000","27,781,000",$87.25,"$3,140","26,321,000",$85.30,"$3,241"
2023,2,10,"28,826,000","26,622,000","27,239,000","10,664,000","16,575,000","149,706,000","13,341,000",$26.65,"$1,997","12,186,000",$25.39,"$2,084"
2023,2,3,"18,946,000","16,767,000","17,508,000","6,066,000","11,442,000","105,829,000","7,996,000",$15.70,"$1,963","6,944,000",$14.28,"$2,056"
2022,12,30,"165,774,000","168,855,000","152,089,000","85,140,000","66,949,000","1,026,942,000","110,567,000",$359.52,"$3,252","100,758,000",$331.84,"$3,293"
2022,10,28,"164,246,000","164,997,000","151,448,000","84,616,000","66,832,000","942,947,000","108,622,000",$344.95,"$3,176","99,636,000",$324.16,"$3,253"
2022,10,21,"163,762,000","163,967,000","151,264,000","84,485,000","66,780,000","932,164,000","107,880,000",$337.60,"$3,129","99,182,000",$319.50,"$3,221"
2022,5,20,"145,372,000","140,618,000","137,177,000","73,356,000","63,820,000","679,249,000","96,274,000",$292.54,"$3,039","90,527,000",$282.53,"$3,121"
2022,5,13,"144,341,000","139,460,000","136,430,000","72,774,000","63,656,000","664,529,000","95,539,000",$289.73,"$3,033","89,867,000",$279.97,"$3,115"
2022,5,6,"143,164,000","138,075,000","135,611,000","72,130,000","63,481,000","648,533,000","94,399,000",$285.55,"$3,025","88,861,000",$276.20,"$3,108"
2022,4,29,"141,272,000","136,484,000","134,646,000","71,395,000","63,251,000","630,458,000","92,523,000",$279.28,"$3,019","87,233,000",$270.62,"$3,102"
2022,4,22,"138,942,000","133,773,000","133,410,000","70,509,000","62,900,000","609,075,000","88,667,000",$267.02,"$3,012","83,891,000",$259.97,"$3,099"
2022,4,15,"122,543,000","118,826,000","117,859,000","63,692,000","54,167,000","571,818,000","78,201,000",$242.63,"$3,103","74,769,000",$237.82,"$3,181"
2022,4,8,"103,315,000","99,785,000","99,290,000","53,018,000","46,272,000","531,901,000","70,040,000",$222.34,"$3,175","66,632,000",$216.98,"$3,256"
2022,4,1,"91,260,000","89,267,000","87,869,000","45,901,000","41,968,000","478,849,000","63,357,000",$204.41,"$3,226","60,606,000",$200.24,"$3,304"
2022,3,25,"81,371,000","78,858,000","78,426,000","39,909,000","38,517,000","468,160,000","57,830,000",$188.69,"$3,263","55,561,000",$185.43,"$3,337"
2022,3,18,"72,223,000","70,305,000","69,852,000","34,395,000","35,457,000","435,510,000","51,775,000",$171.14,"$3,305","49,960,000",$168.56,"$3,374"
2022,3,11,"63,474,000","61,962,000","61,605,000","29,303,000","32,302,000","399,448,000","45,319,000",$151.93,"$3,352","43,951,000",$150.17,"$3,417"
2022,3,4,"54,741,000","53,053,000","53,216,000","24,201,000","29,015,000","357,372,000","37,999,000",$129.23,"$3,401","37,049,000",$128.25,"$3,462"
2022,2,25,"45,413,000","43,818,000","44,293,000","19,082,000","25,211,000","307,581,000","29,723,000",$103.22,"$3,473","29,190,000",$103.02,"$3,529"
2022,2,18,"35,922,000","33,464,000","34,940,000","14,213,000","20,726,000","248,303,000","22,065,000",$78.02,"$3,536","21,804,000",$78.27,"$3,590"
2022,2,11,"26,421,000","23,438,000","25,627,000","9,598,000","16,029,000","172,827,000","8,992,000",$20.89,"$2,323","9,037,000",$21.69,"$2,400"
2022,2,4,"16,685,000","12,992,000","15,990,000","5,243,000","10,747,000","120,234,000","4,330,000",$9.53,"$2,201","4,464,000",$10.29,"$2,306"
2021,12,3,"169,098,000","168,453,000","152,300,000","84,924,000","67,376,000","1,947,346,000","129,841,000",$365.50,"$2,815","113,283,000",$326.18,"$2,879"
2021,10,29,"168,026,000","166,898,000","151,824,000","84,525,000","67,299,000","1,885,126,000","128,572,000",$358.88,"$2,791","112,591,000",$322.38,"$2,863"
2021,10,22,"167,634,000","166,342,000","151,681,000","84,422,000","67,259,000","1,871,475,000","128,064,000",$355.37,"$2,775","112,267,000",$320.11,"$2,851"
2021,6,11,"152,465,000","141,032,000","140,860,000","75,876,000","64,984,000","1,452,971,000","104,304,000",$289.48,"$2,775","93,882,000",$267.53,"$2,850"
2021,6,4,"150,938,000","138,979,000","140,074,000","75,276,000","64,798,000","1,425,885,000","102,380,000",$284.99,"$2,784","92,626,000",$264.59,"$2,857"
2021,5,28,"149,650,000","137,609,000","139,417,000","74,800,000","64,617,000","1,401,265,000","101,243,000",$281.40,"$2,779","91,749,000",$261.60,"$2,851"
2021,5,21,"148,012,000","135,773,000","138,563,000","74,195,000","64,368,000","1,372,697,000","95,632,000",$270.35,"$2,827","87,045,000",$252.37,"$2,899"
2021,5,14,"136,309,000","124,599,000","127,658,000","69,718,000","57,940,000","1,333,514,000","88,890,000",$253.83,"$2,856","81,249,000",$237.72,"$2,926"
2021,5,7,"126,777,000","115,989,000","118,664,000","64,425,000","54,239,000","1,293,942,000","84,840,000",$242.90,"$2,863","77,979,000",$228.13,"$2,932"
2021,4,30,"121,168,000","110,257,000","113,617,000","61,282,000","52,335,000","1,256,364,000","81,485,000",$233.49,"$2,865","74,965,000",$219.96,"$2,934"
2021,4,23,"116,139,000","105,330,000","109,381,000","58,506,000","50,875,000","1,217,624,000","77,652,000",$222.87,"$2,870","71,741,000",$210.67,"$2,936"
2021,4,16,"110,961,000","100,027,000","104,786,000","55,450,000","49,336,000","1,178,651,000","73,316,000",$210.67,"$2,873","68,000,000",$199.85,"$2,939"
2021,4,9,"100,915,000","91,152,000","95,562,000","49,947,000","45,615,000","1,130,085,000","67,727,000",$195.60,"$2,888","63,114,000",$186.28,"$2,951"
2021,4,2,"93,202,000","83,712,000","88,285,000","44,992,000","43,293,000","1,070,694,000","62,305,000",$180.25,"$2,893","58,325,000",$172.27,"$2,954"
2021,3,26,"85,005,000","75,971,000","80,835,000","39,926,000","40,909,000","991,159,000","56,494,000",$163.92,"$2,902","53,152,000",$157.28,"$2,959"
2021,3,19,"76,097,000","67,704,000","72,730,000","34,566,000","38,164,000","879,042,000","49,722,000",$145.63,"$2,929","47,093,000",$140.43,"$2,982"
2021,3,12,"66,065,000","58,490,000","63,492,000","29,293,000","34,199,000","659,291,000","42,513,000",$126.12,"$2,967","40,492,000",$122.14,"$3,016"
2021,3,5,"55,716,000","48,967,000","53,922,000","23,926,000","29,996,000","555,744,000","36,049,000",$107.78,"$2,990","34,498,000",$104.72,"$3,036"
2021,2,26,"45,271,000","39,402,000","43,936,000","18,344,000","25,592,000","493,500,000","28,301,000",$85.48,"$3,021","27,228,000",$83.41,"$3,063"
2021,2,19,"34,693,000","29,832,000","33,615,000","12,813,000","20,802,000","425,806,000","16,576,000",$47.74,"$2,880","16,027,000",$46.79,"$2,920"
2021,2,12,"20,645,000","14,695,000","19,689,000","6,859,000","12,830,000","368,647,000","1,136,000",$2.16,"$1,900","1,099,000",$2.11,"$1,921"
2020,12,11,"169,684,000","163,654,000","152,802,000","80,582,000","72,220,000","1,647,043,000","125,851,000",$320.85,"$2,549","102,695,000",$269.26,"$2,622"
2020,12,4,"169,153,000","163,217,000","152,802,000","80,582,000","72,220,000","1,637,545,000","125,703,000",$320.02,"$2,546","102,623,000",$268.89,"$2,620"
2020,11,20,"168,650,000","162,472,000","152,802,000","80,582,000","72,220,000","1,619,588,000","125,299,000",$317.69,"$2,535","102,399,000",$267.86,"$2,616"
2020,10,23,"166,255,000","160,171,000","152,066,000","80,186,000","71,880,000","1,573,404,000","124,164,000",$309.75,"$2,495","101,773,000",$263.78,"$2,592"
2020,10,16,"165,624,000","159,376,000","151,812,000","80,051,000","71,761,000","1,561,914,000","123,416,000",$305.56,"$2,476","101,298,000",$261.02,"$2,577"
2020,7,24,"152,875,000","146,556,000","143,906,000","74,125,000","69,781,000","1,397,638,000","102,904,000",$282.03,"$2,741","85,333,000",$245.21,"$2,874"
2020,7,17,"151,782,000","145,464,000","143,379,000","73,806,000","69,573,000","1,380,722,000","100,483,000",$276.09,"$2,748","83,384,000",$240.46,"$2,884"
2020,7,10,"147,142,000","134,603,000","133,174,000","68,921,000","64,253,000","1,353,646,000","96,798,000",$267.32,"$2,762","80,394,000",$233.09,"$2,899"
2020,7,3,"142,375,000","130,554,000","129,421,000","66,608,000","62,813,000","1,332,820,000","95,210,000",$263.01,"$2,762","79,141,000",$229.59,"$2,901"
2020,6,26,"139,938,000","128,525,000","127,274,000","65,257,000","62,017,000","1,315,097,000","94,117,000",$259.71,"$2,759","78,280,000",$226.97,"$2,899"
2020,6,19,"138,272,000","126,587,000","125,637,000","64,154,000","61,483,000","1,295,793,000","93,204,000",$257.55,"$2,763","77,561,000",$225.17,"$2,903"
2020,6,12,"136,509,000","124,631,000","123,984,000","63,110,000","60,874,000","1,276,240,000","92,162,000",$255.00,"$2,767","76,725,000",$223.01,"$2,907"
2020,6,5,"135,229,000","122,870,000","122,426,000","62,119,000","60,307,000","1,254,002,000","91,383,000",$253.00,"$2,769","76,092,000",$221.31,"$2,908"
2020,5,29,"133,811,000","121,163,000","120,947,000","61,189,000","59,758,000","1,229,022,000","90,570,000",$250.91,"$2,770","75,427,000",$219.54,"$2,911"
2020,5,22,"132,351,000","119,722,000","119,544,000","60,372,000","59,172,000","1,198,616,000","89,840,000",$249.04,"$2,772","74,808,000",$217.92,"$2,913"
2020,5,15,"130,496,000","117,918,000","117,814,000","59,355,000","58,459,000","1,156,732,000","88,227,000",$245.08,"$2,778","73,425,000",$214.44,"$2,921"
2020,5,8,"128,204,000","115,765,000","115,696,000","58,228,000","57,468,000","1,095,606,000","87,663,000",$243.66,"$2,779","72,956,000",$213.22,"$2,923"
2020,5,1,"125,474,000","113,095,000","113,110,000","56,965,000","56,145,000","1,020,304,000","86,471,000",$240.45,"$2,781","71,977,000",$210.52,"$2,925"
2020,4,24,"121,892,000","110,074,000","110,089,000","55,528,000","54,561,000","898,329,140","84,771,000",$236.37,"$2,788","70,525,000",$206.99,"$2,935"
2020,4,17,"115,961,000","106,637,000","105,991,000","53,651,000","52,340,000","744,739,000","81,349,000",$229.28,"$2,818","68,028,000",$201.61,"$2,964"
2020,4,10,"103,986,000","97,828,000","96,798,000","50,511,000","46,287,000","486,977,000","77,252,000",$220.36,"$2,852","64,762,000",$194.23,"$2,999"
2020,4,3,"97,366,000","92,509,000","91,448,000","47,672,000","43,776,000","432,444,000","74,055,000",$213.13,"$2,878","62,017,000",$187.90,"$3,030"
2020,3,27,"90,617,000","87,001,000","85,559,000","44,501,000","41,058,000","394,715,000","69,931,000",$203.38,"$2,908","59,029,000",$180.49,"$3,058"
2020,3,20,"84,222,000","81,158,000","79,688,000","41,003,000","38,685,000","369,251,000","65,097,000",$191.11,"$2,936","55,584,000",$171.16,"$3,079"
2020,3,13,"76,191,000","73,497,000","72,309,000","36,336,000","35,973,000","345,662,000","59,235,000",$176.09,"$2,973","51,456,000",$159.79,"$3,105"
2020,3,6,"67,998,000","65,018,000","64,806,000","31,430,000","33,376,000","321,393,000","52,721,000",$158.81,"$3,012","46,870,000",$146.65,"$3,129"
2020,2,28,"59,305,000","57,085,000","56,736,000","26,410,000","30,326,000","291,906,000","45,552,000",$139.59,"$3,064","42,636,000",$134.20,"$3,148"
